Project Number,Project Title,Principal Investigator,Institution,Status,Research_Report_Title,Research_Report_URL,Year,Duration (months),Funding (HK$),Major Themes,Empirical_Data_URL
2013.A2.001.13A,Land and Housing Policies in Post-Handover Hong Kong : Political Economy and Urban Space,Prof LI Si Ming,Hong Kong Baptist University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A2_001_13A_Final_Report_Prof_Li.pdf,2013-14 (First Round),15,416760,Land and Housing,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A2.001.13A.zip
2013.A3.002.13A,A Study on the Preferences and Feasibility of Optional Retirement in Hong Kong: A Human Resources Management Perspective,"Prof CHAN Cheung Ming,
Alfred",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A3_002_13A_Final_Report_Prof_Chan.pdf,2013-14 (First Round),9,544255,Livelihood Issues,
2013.A3.003.13A,Retirement Planning for Pre-retiree in Hong Kong,"Prof CHAN Cheung Ming,
Alfred",Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A3_003_13A_Final_Report_Prof_Chan.pdf,2013-14 (First Round),12,516954,Livelihood Issues,
2013.A3.004.13A,The Governing System of Pre-1997 Hong Kong: Archival Study of Selected Policies / Events,Dr LI Pang Kwong,Lingnan University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A3_004_13A_Final_Report_Dr_Li.pdf,2013-14 (First Round),14,443497.5,Political Development and Governance,
2013.A6.006.13A,Sustainable Planning Criteria (SPC) for Age-friendly Precincts (AFP) in the New Development Areas (NDAs) of Hong Kong,"Prof CHAN Hon Wan,
Edwin",The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_006_13A_Final_Report_Prof_Chan.pdf,2013-14 (First Round),15,528471,"Land and Housing, Livelihood Issues",https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.006.13A.zip
2013.A6.007.13A,Improving Safety Communication of Ethnic Minorities in the Construction Industry,Prof Albert P. C. CHAN,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_007_13A_Final_Report_Prof_Chan.pdf,2013-14 (First Round),18,488750,Livelihood Issues,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Dataset_2013.A6.007.13A.zip
2013.A6.010.13A,Study on the Development Potential and Energy Incentives of Rooftop Solar Photovoltaic Applications in Hong Kong,Dr LU Lin,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_010_13A_Final_Report_Dr_Lu.pdf,2013-14 (First Round),16,424120,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.010.13A.zip
2013.A6.012.13A,Can We Get Rid of Smoggy Days in Hong Kong: Formation Mechanism and Control Strategies?,Dr GUO Hai,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_012_13A_Final_Report_Dr_Guo.pdf,2013-14 (First Round),15,662969.3,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.012.13A.zip
2013.A6.013.13A,Development of a Policy for Optimizing the Use of Inert Solid Wastes in Road Pavement Construction,Dr WANG Yuhong,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_013_13A_Final_Report_Dr_Wang.pdf,2013-14 (First Round),21,373635,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.013.13A.zip
2013.A6.022.13A,"Is the Polluter Paying? Assessing the Application of the ""Polluter Pays"" Principle to Ship-Source Pollution in Hong Kong",Dr ZHU Ling,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_022_13A_Final_Report_Dr_Zhu.pdf,2013-14 (First Round),12,258750,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.022.13A.zip
2013.A6.024.13A,A Remote Sensing Study of Solar Energy Supply in Cloud-prone Areas of Hong Kong,Dr WONG Man Sing,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_024_13A_Final_Report_Dr_Wong.pdf,2013-14 (First Round),16,359869.5,Others,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.024.13A.zip
2013.A6.025.13A,Green Information Technology Adoption in Hong Kong: An Empirical Analysis and Policy Implications for Sustainable Development,Prof Eric W. T. NGAI,The Hong Kong Polytechnic University,Completed,Research Report,https://www.cepu.gov.hk/doc/en/research_report(PDF)/2013_A6_025_13A_Final_Report_Prof_Ngai.pdf,2013-14 (First Round),20,329906.3,Environmental Protection,https://www.cepu.gov.hk/doc/en/research_report(ZIP)/Data Set_2013.A6.025.13A.zip
